id,index_key,level,scope,snap_date,value,components,note
59,heat,stock,510500,2026-06-27,86.49,"{""volatility_pct"": 86.72, ""momentum_pct"": 24.38, ""amount_pct"": 86.49, ""fund_flow_main"": {""raw"": 251151696.0, ""pct"": null}, ""margin_buy"": {""raw"": 154802983.0, ""pct"": null}}",
60,fear,stock,600886,2026-06-27,62.66,"{""volatility_pct"": 35.35, ""momentum_pct"": 37.25, ""amount_pct"": 79.2, ""fund_flow_main"": {""raw"": 39814253.0, ""pct"": null}, ""margin_buy"": {""raw"": 25322295.0, ""pct"": null}, ""pe_pct"": 39.0, ""pb_pct"": 8.47}",
61,greed,stock,600886,2026-06-27,40.98,"{""volatility_pct"": 35.35, ""momentum_pct"": 37.25, ""amount_pct"": 79.2, ""fund_flow_main"": {""raw"": 39814253.0, ""pct"": null}, ""margin_buy"": {""raw"": 25322295.0, ""pct"": null}, ""pe_pct"": 39.0, ""pb_pct"": 8.47}",
62,heat,stock,600886,2026-06-27,79.2,"{""volatility_pct"": 35.35, ""momentum_pct"": 37.25, ""amount_pct"": 79.2, ""fund_flow_main"": {""raw"": 39814253.0, ""pct"": null}, ""margin_buy"": {""raw"": 25322295.0, ""pct"": null}, ""pe_pct"": 39.0, ""pb_pct"": 8.47}",
63,fear,market,MARKET,2026-06-28,76.31,"{""volatility_pct"": 78.94, ""momentum_pct"": 26.32, ""amount_pct"": 79.7, ""limit_chain"": {""raw"": 6, ""pct"": null}, ""limit_count"": {""raw"": 60, ""pct"": 37.5}, ""margin_balance"": {""raw"": 801602446146.0, ""pct"": null}, ""breadth_up"": {""raw"": 0.14321972443799855, ""pct"": null}, ""breadth_down"": {""raw"": 0.8477157360406091, ""pct"": null}}",
64,greed,market,MARKET,2026-06-28,53.01,"{""volatility_pct"": 78.94, ""momentum_pct"": 26.32, ""amount_pct"": 79.7, ""limit_chain"": {""raw"": 6, ""pct"": null}, ""limit_count"": {""raw"": 60, ""pct"": 37.5}, ""margin_balance"": {""raw"": 801602446146.0, ""pct"": null}, ""breadth_up"": {""raw"": 0.14321972443799855, ""pct"": null}, ""breadth_down"": {""raw"": 0.8477157360406091, ""pct"": null}}",
65,heat,market,MARKET,2026-06-28,58.6,"{""volatility_pct"": 78.94, ""momentum_pct"": 26.32, ""amount_pct"": 79.7, ""limit_chain"": {""raw"": 6, ""pct"": null}, ""limit_count"": {""raw"": 60, ""pct"": 37.5}, ""margin_balance"": {""raw"": 801602446146.0, ""pct"": null}, ""breadth_up"": {""raw"": 0.14321972443799855, ""pct"": null}, ""breadth_down"": {""raw"": 0.8477157360406091, ""pct"": null}}",
66,fear,sector,创业板,2026-06-28,80.39,"{""volatility_pct"": 96.21, ""momentum_pct"": 35.43, ""amount_pct"": 95.04}",
67,greed,sector,创业板,2026-06-28,65.23,"{""volatility_pct"": 96.21, ""momentum_pct"": 35.43, ""amount_pct"": 95.04}",
68,heat,sector,创业板,2026-06-28,95.04,"{""volatility_pct"": 96.21, ""momentum_pct"": 35.43, ""amount_pct"": 95.04}",
69,fear,sector,科创50,2026-06-28,52.61,"{""volatility_pct"": 96.04, ""momentum_pct"": 90.82, ""amount_pct"": 97.83}",
70,greed,sector,科创50,2026-06-28,94.32,"{""volatility_pct"": 96.04, ""momentum_pct"": 90.82, ""amount_pct"": 97.83}",
71,heat,sector,科创50,2026-06-28,97.83,"{""volatility_pct"": 96.04, ""momentum_pct"": 90.82, ""amount_pct"": 97.83}",
