id,sector_name,snap_date,open,high,low,close,pct_chg,volume,amount
5473,半导体,2021-08-09,9024.361,9031.158,8825.326,9020.485,-1.31,2023785900.0,82605589000.0
5474,半导体,2021-08-10,9010.56,9118.058,8861.558,9012.855,-0.08,2029647000.0,82773497000.0
5475,半导体,2021-08-11,8997.576,9078.375,8887.673,9062.645,0.55,1904301200.0,72838431000.0
5476,半导体,2021-08-12,9023.726,9333.112,9023.726,9220.874,1.75,2052735800.0,79386343000.0
5477,半导体,2021-08-13,9126.83,9127.667,8900.282,8927.624,-3.18,2089033600.0,80448090000.0
5478,半导体,2021-08-16,8873.687,9115.318,8759.533,8982.742,0.62,1839025100.0,79664867000.0
5479,半导体,2021-08-17,8970.92,8998.83,8602.381,8626.393,-3.97,2021746700.0,76419711000.0
5480,半导体,2021-08-18,8619.665,8700.714,8531.982,8597.486,-0.34,1616087300.0,64836917000.0
5481,半导体,2021-08-19,8579.119,8759.214,8557.169,8680.299,0.96,1443623200.0,64009127000.0
5482,半导体,2021-08-20,8641.521,8796.955,8554.97,8701.253,0.24,1542804500.0,69145270000.0
5483,半导体,2021-08-23,8720.008,8915.436,8691.969,8909.823,2.4,1536327300.0,70321611000.0
5484,半导体,2021-08-24,8915.118,9044.867,8803.003,8989.547,0.89,1853082900.0,81741156000.0
5485,半导体,2021-08-25,8987.363,9037.092,8859.957,8927.602,-0.69,1649802100.0,70220266000.0
5486,半导体,2021-08-26,8940.737,8999.98,8787.703,8795.162,-1.48,1688162000.0,70541849000.0
5487,半导体,2021-08-27,8738.215,8772.506,8639.047,8735.282,-0.68,1595143400.0,64905237000.0
5488,半导体,2021-08-30,8778.001,8928.631,8665.61,8696.304,-0.45,1827930700.0,76289906000.0
5489,半导体,2021-08-31,8659.759,8659.759,8419.863,8504.397,-2.21,1790952100.0,75904097000.0
5490,半导体,2021-09-01,8500.654,8500.654,8237.556,8406.253,-1.15,1780698500.0,69154250000.0
5491,半导体,2021-09-02,8358.593,8379.528,8289.594,8333.051,-0.87,1474176100.0,60162315000.0
5492,半导体,2021-09-03,8320.124,8472.615,8230.38,8410.54,0.93,1672011800.0,63943381000.0
5493,半导体,2021-09-06,8410.305,8614.048,8346.986,8610.103,2.37,1575554700.0,58799701000.0
5494,半导体,2021-09-07,8591.669,8671.774,8559.457,8614.316,0.05,1391214900.0,50150635000.0
5495,半导体,2021-09-08,8620.204,8641.916,8546.361,8580.989,-0.39,1539276600.0,53943060000.0
5496,半导体,2021-09-09,8553.603,8557.75,8394.18,8436.222,-1.69,1482714900.0,50944176000.0
5497,半导体,2021-09-10,8432.726,8730.613,8380.073,8660.828,2.66,1825510300.0,73252039000.0
5498,半导体,2021-09-13,8628.973,8628.973,8397.51,8407.82,-2.92,1551421000.0,62331659000.0
5499,半导体,2021-09-14,8391.142,8552.89,8347.129,8375.708,-0.38,1447775000.0,56899976000.0
5500,半导体,2021-09-15,8358.299,8390.727,8241.026,8338.95,-0.44,1158294210.0,48608802000.0
5501,半导体,2021-09-16,8313.046,8332.095,8074.483,8076.055,-3.15,1289303680.0,49694563000.0
5502,半导体,2021-09-17,8087.682,8174.967,7949.138,8081.462,0.07,1085371350.0,39255342000.0
5503,半导体,2021-09-22,7966.799,8142.35,7956.978,8099.851,0.23,1011656030.0,39524437000.0
5504,半导体,2021-09-23,8137.443,8293.427,8094.501,8234.779,1.67,1275852330.0,51953199000.0
5505,半导体,2021-09-24,8214.3,8254.236,8118.805,8121.557,-1.37,1196299770.0,45896408000.0
5506,半导体,2021-09-27,8162.665,8263.014,7942.407,7986.739,-1.66,1226862350.0,48199522000.0
5507,半导体,2021-09-28,7961.083,8136.268,7909.418,8020.611,0.42,936092230.0,41559813000.0
5508,半导体,2021-09-29,7942.405,7963.309,7781.852,7801.162,-2.74,1039800870.0,41807931000.0
5509,半导体,2021-09-30,7831.047,8002.17,7831.047,7983.884,2.34,847932000.0,37553976000.0
5510,半导体,2021-10-08,8087.798,8176.094,8001.624,8022.954,0.49,964242030.0,45041209000.0
5511,半导体,2021-10-11,8045.188,8089.089,7978.642,7999.06,-0.3,911093660.0,42630062000.0
5512,半导体,2021-10-12,7981.658,8002.332,7709.159,7774.479,-2.81,1038315390.0,43103425000.0
5513,半导体,2021-10-13,7786.426,7950.734,7786.426,7949.331,2.25,973337600.0,40044702000.0
5514,半导体,2021-10-14,7922.549,7943.725,7861.142,7913.168,-0.45,823211570.0,34451597000.0
5515,半导体,2021-10-15,7900.78,8149.798,7860.349,8100.337,2.37,1325311050.0,57868423000.0
5516,半导体,2021-10-18,8076.807,8076.807,7957.595,8036.78,-0.78,1119420060.0,51006212000.0
5517,半导体,2021-10-19,8042.555,8116.067,8028.106,8075.796,0.49,987110230.0,41106332000.0
5518,半导体,2021-10-20,8075.738,8108.52,8026.362,8055.036,-0.26,995390630.0,37390792000.0
5519,半导体,2021-10-21,8048.168,8048.168,7899.988,7924.214,-1.62,972587170.0,36978534000.0
5520,半导体,2021-10-22,7964.273,8116.254,7958.386,8029.454,1.33,1182554640.0,55014766000.0
5521,半导体,2021-10-25,8032.028,8081.339,7930.554,8081.339,0.65,961068090.0,45051361000.0
5522,半导体,2021-10-26,8071.109,8141.174,8011.899,8094.707,0.17,1341869440.0,57154448000.0
5523,半导体,2021-10-27,8067.526,8067.526,7859.528,7888.7,-2.54,1250574740.0,50075472000.0
5524,半导体,2021-10-28,7873.216,7955.814,7729.532,7745.179,-1.82,1186168280.0,52262987000.0
5525,半导体,2021-10-29,7757.099,7967.544,7757.099,7948.004,2.62,1318587590.0,58315701000.0
5526,半导体,2021-11-01,7971.424,8211.256,7968.464,8190.799,3.05,1679537100.0,65507366000.0
5527,半导体,2021-11-02,8230.164,8453.061,8230.164,8311.774,1.48,2172613200.0,86028414000.0
5528,半导体,2021-11-03,8330.045,8441.333,8230.409,8328.795,0.2,1459757800.0,62541271000.0
5529,半导体,2021-11-04,8358.387,8506.396,8358.243,8482.486,1.85,1501915700.0,62591177000.0
5530,半导体,2021-11-05,8582.85,8693.505,8527.621,8533.594,0.6,1972734300.0,71856271000.0
5531,半导体,2021-11-08,8460.404,8460.861,8288.188,8414.282,-1.4,1558652800.0,58873554000.0
5532,半导体,2021-11-09,8411.793,8646.84,8398.144,8634.993,2.62,1719027900.0,66010970000.0
5533,半导体,2021-11-10,8594.688,8743.929,8576.66,8743.929,1.26,1756848600.0,65751433000.0
5534,半导体,2021-11-11,8696.037,9056.07,8679.99,8940.215,2.24,2067314400.0,89781812000.0
5535,半导体,2021-11-12,8899.576,9036.883,8877.332,9016.022,0.85,1961563200.0,77408442000.0
5536,半导体,2021-11-15,9142.046,9267.413,9111.966,9116.158,1.11,1708683000.0,67126910000.0
5537,半导体,2021-11-16,9085.171,9170.455,8938.614,8946.034,-1.87,1713277200.0,61775474000.0
5538,半导体,2021-11-17,8947.932,9108.008,8903.453,9108.008,1.81,1489177400.0,54235263000.0
5539,半导体,2021-11-18,9083.734,9151.228,9011.849,9012.048,-1.05,1514012800.0,57566131000.0
5540,半导体,2021-11-19,9012.855,9158.121,9009.736,9148.825,1.52,1522824200.0,57314739000.0
5541,半导体,2021-11-22,9173.718,9552.806,9173.718,9545.674,4.34,2225686100.0,93112094000.0
5542,半导体,2021-11-23,9523.965,9646.286,9519.883,9583.899,0.4,2002819900.0,83642380000.0
5543,半导体,2021-11-24,9578.566,9724.93,9560.263,9586.842,0.03,1759371700.0,75578217000.0
5544,半导体,2021-11-25,9571.904,9770.345,9543.388,9642.048,0.58,1733258200.0,78802794000.0
5545,半导体,2021-11-26,9596.768,9612.46,9452.893,9493.421,-1.54,1644509700.0,69326479000.0
5546,半导体,2021-11-29,9343.657,9538.972,9329.105,9529.975,0.39,1528443400.0,61702407000.0
5547,半导体,2021-11-30,9590.335,9692.588,9504.914,9577.442,0.5,1696255100.0,70326438000.0
5548,半导体,2021-12-01,9548.966,9688.003,9546.063,9587.297,0.1,1442455300.0,63566904000.0
5549,半导体,2021-12-02,9578.599,9611.525,9405.368,9418.361,-1.76,1472625800.0,63896240000.0
5550,半导体,2021-12-03,9455.688,9621.893,9455.663,9559.975,1.5,1556599400.0,74368863000.0
5551,半导体,2021-12-06,9553.23,9553.23,9268.739,9282.885,-2.9,1461645600.0,61689584000.0
5552,半导体,2021-12-07,9327.834,9332.516,8955.514,9024.575,-2.78,1504572800.0,60935262000.0
5553,半导体,2021-12-08,9075.097,9234.298,9074.404,9234.298,2.32,1393110500.0,59187381000.0
5554,半导体,2021-12-09,9221.887,9277.736,9193.851,9261.849,0.3,1391126900.0,58448672000.0
5555,半导体,2021-12-10,9222.594,9259.944,9160.689,9242.935,-0.2,1381620000.0,64118326000.0
5556,半导体,2021-12-13,9251.686,9294.533,9172.981,9268.715,0.28,1178421670.0,51811062000.0
5557,半导体,2021-12-14,9246.13,9308.27,9189.298,9294.168,0.27,1013559680.0,44917313000.0
5558,半导体,2021-12-15,9300.19,9346.194,9215.233,9225.196,-0.74,1233306870.0,49286522000.0
5559,半导体,2021-12-16,9249.187,9308.504,9221.689,9247.403,0.24,1165766400.0,47789214000.0
5560,半导体,2021-12-17,9210.41,9210.41,8983.276,8983.339,-2.86,1276769890.0,51796425000.0
5561,半导体,2021-12-20,8961.267,9008.733,8792.037,8792.101,-2.13,1040365900.0,41820654000.0
5562,半导体,2021-12-21,8791.073,8888.765,8782.117,8884.287,1.05,838794140.0,35172717000.0
5563,半导体,2021-12-22,8913.337,9041.937,8890.72,8988.257,1.17,1148628880.0,47173424000.0
5564,半导体,2021-12-23,8991.536,9049.099,8927.171,9005.016,0.19,1101113900.0,42522310000.0
5565,半导体,2021-12-24,9006.921,9056.553,8891.983,8903.714,-1.12,1075720060.0,42729645000.0
5566,半导体,2021-12-27,8888.104,8942.537,8851.111,8878.146,-0.29,903077420.0,35872884000.0
5567,半导体,2021-12-28,8906.368,8983.321,8887.343,8963.231,0.96,895132400.0,36588244000.0
5568,半导体,2021-12-29,8957.078,8957.078,8811.002,8851.434,-1.25,967362110.0,37103567000.0
5569,半导体,2021-12-30,8855.144,9094.542,8848.422,9049.09,2.23,1159874230.0,47492618000.0
5570,半导体,2021-12-31,9055.998,9066.242,8988.646,9051.113,0.02,986305110.0,41348823000.0
5571,半导体,2022-01-04,9064.909,9091.542,8865.787,8931.713,-1.32,1100336880.0,48100422000.0
5572,半导体,2022-01-05,8912.607,8923.816,8594.58,8660.011,-3.04,1184624070.0,52235492000.0
5573,半导体,2022-01-06,8606.615,8708.925,8548.372,8662.562,0.03,934794450.0,40801256000.0
5574,半导体,2022-01-07,8659.54,8720.863,8515.782,8515.782,-1.69,958081290.0,39192649000.0
5575,半导体,2022-01-10,8492.04,8558.195,8343.814,8521.912,0.07,926632680.0,37765844000.0
5576,半导体,2022-01-11,8510.264,8521.735,8350.633,8369.404,-1.79,810329050.0,35619562000.0
5577,半导体,2022-01-12,8416.994,8512.603,8416.079,8512.587,1.71,867883230.0,40853794000.0
5578,半导体,2022-01-13,8511.663,8511.663,8359.378,8361.571,-1.77,803744950.0,33602444000.0
5579,半导体,2022-01-14,8322.447,8516.657,8310.686,8456.182,1.13,879680040.0,41549841000.0
5580,半导体,2022-01-17,8452.09,8659.804,8452.09,8647.618,2.26,1029896640.0,44390489000.0
5581,半导体,2022-01-18,8651.968,8776.804,8601.619,8649.189,0.02,1052671570.0,44985702000.0
5582,半导体,2022-01-19,8609.972,8624.403,8487.059,8528.059,-1.4,796458680.0,35130398000.0
5583,半导体,2022-01-20,8524.869,8540.604,8309.81,8315.154,-2.5,892636300.0,34641639000.0
5584,半导体,2022-01-21,8285.984,8299.411,8140.706,8149.214,-2.0,787938810.0,32697437000.0
5585,半导体,2022-01-24,8105.636,8256.608,8101.68,8208.475,0.73,697908110.0,33124653000.0
5586,半导体,2022-01-25,8182.49,8231.603,7926.411,7926.411,-3.44,886479590.0,36733184000.0
5587,半导体,2022-01-26,7959.389,8018.627,7884.015,8002.282,0.96,739006220.0,32078763000.0
5588,半导体,2022-01-27,7997.285,8033.105,7719.375,7719.447,-3.53,849184630.0,34775104000.0
5589,半导体,2022-01-28,7764.808,7824.002,7620.41,7696.685,-0.29,798999520.0,33538859000.0
5590,半导体,2022-02-07,7831.788,7868.289,7727.541,7749.702,0.69,729456070.0,31351822000.0
5591,半导体,2022-02-08,7745.516,7745.851,7532.622,7659.806,-1.16,764151220.0,35238986000.0
5592,半导体,2022-02-09,7660.271,7769.066,7590.851,7769.052,1.43,777722200.0,32560147000.0
5593,半导体,2022-02-10,7788.174,7814.676,7681.103,7707.976,-0.79,735261850.0,31368480000.0
5594,半导体,2022-02-11,7669.705,7669.705,7504.736,7521.937,-2.41,819412260.0,30082631000.0
5595,半导体,2022-02-14,7453.074,7568.899,7363.713,7487.556,-0.46,626795410.0,26669122000.0
5596,半导体,2022-02-15,7516.039,7707.158,7515.83,7706.529,2.92,849779960.0,33667903000.0
5597,半导体,2022-02-16,7751.381,7760.029,7676.52,7704.433,-0.03,725835850.0,27149188000.0
5598,半导体,2022-02-17,7690.918,7838.008,7660.021,7742.309,0.49,778467010.0,30341463000.0
5599,半导体,2022-02-18,7678.452,7707.935,7641.375,7705.895,-0.47,576415960.0,22571857000.0
5600,半导体,2022-02-21,7689.373,7741.777,7687.617,7729.213,0.3,750990810.0,25422215000.0
