id,level,scope,factor,snap_date,raw_value,percentile,window_days,sample_size
237,market,MARKET,margin_balance,2023-04-28,851955976985.0,,250,0
238,market,MARKET,margin_balance,2023-04-27,856717566573.0,,250,0
239,market,MARKET,margin_balance,2023-04-26,858163837010.0,,250,0
240,market,MARKET,margin_balance,2023-04-25,861182966321.0,,250,0
241,market,MARKET,margin_balance,2023-04-24,866123249034.0,,250,0
242,market,MARKET,margin_balance,2023-04-21,866805029513.0,,250,0
243,market,MARKET,margin_balance,2023-04-20,872616259858.0,,250,0
244,market,MARKET,margin_balance,2023-04-19,868803925272.0,,250,0
245,market,MARKET,margin_balance,2023-04-18,867755900678.0,,250,0
246,market,MARKET,margin_balance,2023-04-17,867370898875.0,,250,0
247,market,MARKET,margin_balance,2023-04-14,864743209029.0,,250,0
248,market,MARKET,margin_balance,2023-04-13,864282646244.0,,250,0
249,market,MARKET,margin_balance,2023-04-12,865840706842.0,,250,0
250,market,MARKET,margin_balance,2023-04-11,861737653258.0,,250,0
251,market,MARKET,margin_balance,2023-04-10,862019274230.0,,250,0
252,market,MARKET,margin_balance,2023-04-07,863091709655.0,,250,0
253,market,MARKET,margin_balance,2023-04-06,863791280849.0,,250,0
254,market,MARKET,margin_balance,2023-04-04,858150206567.0,,250,0
255,market,MARKET,margin_balance,2023-04-03,857783982623.0,,250,0
256,market,MARKET,margin_balance,2023-03-31,852892436422.0,,250,0
257,market,MARKET,margin_balance,2023-03-30,855417451708.0,,250,0
258,market,MARKET,margin_balance,2023-03-29,856120481168.0,,250,0
259,market,MARKET,margin_balance,2023-03-28,856030036771.0,,250,0
260,market,MARKET,margin_balance,2023-03-27,855734664754.0,,250,0
261,market,MARKET,margin_balance,2023-03-24,851574580182.0,,250,0
262,market,MARKET,margin_balance,2023-03-23,851059552143.0,,250,0
263,market,MARKET,margin_balance,2023-03-22,847425867462.0,,250,0
264,market,MARKET,margin_balance,2023-03-21,845839149588.0,,250,0
265,market,MARKET,margin_balance,2023-03-20,844881283967.0,,250,0
266,market,MARKET,margin_balance,2023-03-17,843729378979.0,,250,0
267,market,MARKET,margin_balance,2023-03-16,843731934036.0,,250,0
268,market,MARKET,margin_balance,2023-03-15,844109122778.0,,250,0
269,market,MARKET,margin_balance,2023-03-14,843324286073.0,,250,0
270,market,MARKET,margin_balance,2023-03-13,841411174420.0,,250,0
271,market,MARKET,margin_balance,2023-03-10,840451435889.0,,250,0
272,market,MARKET,margin_balance,2023-03-09,844328019539.0,,250,0
273,market,MARKET,margin_balance,2023-03-08,842223284518.0,,250,0
274,market,MARKET,margin_balance,2023-03-07,841422864009.0,,250,0
275,market,MARKET,margin_balance,2023-03-06,842751770394.0,,250,0
276,market,MARKET,margin_balance,2023-03-03,839635957585.0,,250,0
277,market,MARKET,margin_balance,2023-03-02,839604103848.0,,250,0
278,market,MARKET,margin_balance,2023-03-01,840512218948.0,,250,0
279,market,MARKET,margin_balance,2023-02-28,838681418773.0,,250,0
280,market,MARKET,margin_balance,2023-02-27,838667164993.0,,250,0
281,market,MARKET,margin_balance,2023-02-24,839635445901.0,,250,0
282,market,MARKET,margin_balance,2023-02-23,840983683289.0,,250,0
283,market,MARKET,margin_balance,2023-02-22,840954742188.0,,250,0
284,market,MARKET,margin_balance,2023-02-21,839289543056.0,,250,0
285,market,MARKET,margin_balance,2023-02-20,838123807513.0,,250,0
286,market,MARKET,margin_balance,2023-02-17,834529092600.0,,250,0
287,market,MARKET,margin_balance,2023-02-16,837689029703.0,,250,0
