id,asset_code,ex_date,record_date,announce_date,per_share_cash,currency,source
220,600887,2023-06-13,,,1.04,CNY,akshare:stock_fhps_detail_em
221,600887,2022-06-01,,,0.96,CNY,akshare:stock_fhps_detail_em
222,600887,2021-06-11,,,0.82,CNY,akshare:stock_fhps_detail_em
223,600887,2020-06-10,,,0.81,CNY,akshare:stock_fhps_detail_em
224,600941,2026-06-05,,,2.2012,CNY,akshare:stock_fhps_detail_em
225,600941,2025-09-01,,,2.5025,CNY,akshare:stock_fhps_detail_em
226,600941,2025-06-06,,,2.2916,CNY,akshare:stock_fhps_detail_em
227,600941,2024-09-02,,,2.3789,CNY,akshare:stock_fhps_detail_em
228,600941,2024-06-06,,,2.1849,CNY,akshare:stock_fhps_detail_em
229,600941,2023-09-01,,,2.2247,CNY,akshare:stock_fhps_detail_em
230,600941,2023-06-07,,,1.9796,CNY,akshare:stock_fhps_detail_em
231,600941,2022-09-06,,,1.8942,CNY,akshare:stock_fhps_detail_em
232,601012,2024-07-15,,,0.17,CNY,akshare:stock_fhps_detail_em
233,601012,2023-06-19,,,0.4,CNY,akshare:stock_fhps_detail_em
234,601012,2022-06-06,,,0.185714,CNY,akshare:stock_fhps_detail_em
235,601012,2021-06-23,,,0.178571,CNY,akshare:stock_fhps_detail_em
236,601012,2020-10-26,,,0.18,CNY,akshare:stock_fhps_detail_em
237,601012,2020-06-04,,,0.2,CNY,akshare:stock_fhps_detail_em
238,601012,2019-06-10,,,0.1,CNY,akshare:stock_fhps_detail_em
239,601012,2018-05-29,,,0.128571,CNY,akshare:stock_fhps_detail_em
240,601138,2026-01-16,,,0.33,CNY,akshare:stock_fhps_detail_em
241,601138,2025-12-31,,,0.65,CNY,akshare:stock_fhps_detail_em
242,601138,2025-07-31,,,0.64,CNY,akshare:stock_fhps_detail_em
243,601138,2024-08-15,,,0.58,CNY,akshare:stock_fhps_detail_em
244,601138,2023-07-28,,,0.55,CNY,akshare:stock_fhps_detail_em
245,601138,2022-08-05,,,0.5,CNY,akshare:stock_fhps_detail_em
246,601138,2021-07-27,,,0.25,CNY,akshare:stock_fhps_detail_em
247,601138,2020-06-30,,,0.2,CNY,akshare:stock_fhps_detail_em
248,601166,2026-06-12,,,0.501,CNY,akshare:stock_fhps_detail_em
249,601166,2026-02-06,,,0.565,CNY,akshare:stock_fhps_detail_em
250,601166,2025-06-20,,,1.06,CNY,akshare:stock_fhps_detail_em
251,601166,2024-07-09,,,1.04,CNY,akshare:stock_fhps_detail_em
252,601166,2023-06-19,,,1.188,CNY,akshare:stock_fhps_detail_em
253,601166,2022-06-16,,,1.035,CNY,akshare:stock_fhps_detail_em
254,601166,2021-06-29,,,0.802,CNY,akshare:stock_fhps_detail_em
255,601166,2020-07-15,,,0.762,CNY,akshare:stock_fhps_detail_em
256,601225,2026-06-26,,,0.909,CNY,akshare:stock_fhps_detail_em
257,601225,2025-09-26,,,0.039,CNY,akshare:stock_fhps_detail_em
258,601225,2025-06-25,,,1.136,CNY,akshare:stock_fhps_detail_em
259,601225,2025-01-17,,,0.103,CNY,akshare:stock_fhps_detail_em
260,601225,2024-10-23,,,0.109,CNY,akshare:stock_fhps_detail_em
261,601225,2024-06-28,,,1.315,CNY,akshare:stock_fhps_detail_em
262,601225,2023-07-12,,,2.18,CNY,akshare:stock_fhps_detail_em
263,601225,2022-07-08,,,1.35,CNY,akshare:stock_fhps_detail_em
264,601857,2026-06-26,,,0.25,CNY,akshare:stock_fhps_detail_em
265,601857,2025-09-17,,,0.22,CNY,akshare:stock_fhps_detail_em
266,601857,2025-06-25,,,0.25,CNY,akshare:stock_fhps_detail_em
267,601857,2024-09-19,,,0.22,CNY,akshare:stock_fhps_detail_em
268,601857,2024-06-26,,,0.23,CNY,akshare:stock_fhps_detail_em
269,601857,2023-09-20,,,0.21,CNY,akshare:stock_fhps_detail_em
